Catalog#,Artist,Title,Label,Format,Released,release_id,CollectionFolder,Date Added,date,Time,Label1,Label2,Same_label,Format_category,Value
SPGRM 004,Kali Malone,Living Torch,Portraits GRM,"LP, Album, RP",2023,26311679,Uncategorized,25/03/2023 11:07,25/03/2023,11:07:00,Portraits GRM,,Different,LP,13
PRE034,Greg Haines,Digressions,Preservation,"CD, Album",2012,3443287,Uncategorized,07/12/2019 23:15,12/07/2019,23:15:00,Preservation,,Different,CD,5
PRIK060,Daemonia Nymphe,Daemonia Nymphe,Prikosnovénie,"CD, Album",2002,197822,Uncategorized,12/09/2023 01:07,09/12/2023,01:07:00,Prikosnovénie,,Different,CD,7
none,Milan Knížák,Broken Music (Details),Primary Information,"Flexi, "", S/Sided, RE",2018,12705580,Uncategorized,02/06/2021 11:46,06/02/2021,11:46:00,Primary Information,,Different,"Flexi, "", S/Sided, RE",2
PSS001,Jasper TX,In A Cool Monsoon,Pumpkin Seeds In The Sand,"CD, Album",2007,1131821,Uncategorized,25/12/2019 12:39,25/12/2019,12:39:00,Pumpkin Seeds In The Sand,,Different,CD,7
QS75CD,Rachel's,Systems/Layers,Quarterstick Records,"CD, Album",2003,13927017,Uncategorized,12/09/2023 00:56,09/12/2023,00:56:00,Quarterstick Records,,Different,CD,5
"Qs35cd, QS35CD",Rachel's,Music For Egon Schiele,"Quarterstick Records, Quarterstick Records","CD, Album",1996,497900,Uncategorized,12/09/2023 00:54,09/12/2023,00:54:00,Quarterstick Records,Quarterstick Records,Same,CD,3
"Qs55 PROMO CD, Qs55 CD",Rachel's,Selenography,"Quarterstick Records, Quarterstick Records","CD, Album, Promo",1999,1677736,Uncategorized,12/09/2023 01:23,09/12/2023,01:23:00,Quarterstick Records,Quarterstick Records,Same,CD,7
R-N 103,Alva Noto,Xerrox Vol.2,Raster-Noton,"CD, Album",2009,1610507,Uncategorized,25/12/2019 12:56,25/12/2019,12:56:00,Raster-Noton,,Different,CD,4
r-n 121,ANBB,Mimikry,Raster-Noton,"CD, Album",2010,2456089,Uncategorized,01/12/2019 00:16,12/01/2019,00:16:00,Raster-Noton,,Different,CD,6
r-n 50,Alva Noto + Ryuichi Sakamoto,Vrioon,Raster-Noton,"CD, Album",2002,83299,Uncategorized,01/12/2019 00:17,12/01/2019,00:17:00,Raster-Noton,,Different,CD,3
