Catalog#,Artist,Title,Label,Format,Released,release_id,CollectionFolder,Date Added,date,Time,Label1,Label2,Same_label,Format_category,Value
KRANK 211 ,Tim Hecker,Haunt Me Haunt Me Do It Again,Kranky,"xLP, Album, RE, RM",2018,12223905,Uncategorized,22/11/2019 16:22,22/11/2019,16:22:00,Kranky,,Different,LP,46
KRANK 212,Tim Hecker,Radio Amor,Kranky,"xLP, Album, RE, RM",2018,12223919,Uncategorized,22/11/2019 17:43,22/11/2019,17:43:00,Kranky,,Different,LP,24
krank 233,Grouper,Shade,Kranky,"LP, Album",2021,20867635,Uncategorized,20/11/2021 03:24,20/11/2021,03:24:00,Kranky,,Different,LP,36
krank024,Windy & Carl,Depths,Kranky,"CD, Album",1998,73553,Uncategorized,20/12/2019 10:47,20/12/2019,10:47:00,Kranky,,Different,CD,7
krank043,Godspeed You Black Emperor!,Lift Yr. Skinny Fists Like Antennas To Heaven!,Kranky,"xCD, Album",2000,4059440,Uncategorized,25/12/2019 12:35,25/12/2019,12:35:00,Kranky,,Different,CD,3
KRANK072,The Dead Texan,The Dead Texan,Kranky,"CD, Album + DVD-V",2004,321857,Uncategorized,12/09/2023 01:20,09/12/2023,01:20:00,Kranky,,Different,CD,2
krank077,Various,Kompilation,Kranky,"xCD, Comp",2004,339481,Uncategorized,07/12/2019 23:22,12/07/2019,23:22:00,Kranky,,Different,CD,6
krank102,Tim Hecker,Harmony In Ultraviolet,Kranky,"CD, Album, Car",2006,757715,Uncategorized,01/12/2019 00:11,12/01/2019,00:11:00,Kranky,,Different,CD,7
krank128,Pan•American,White Bird Release,Kranky,"CD, Album",2009,1654938,Uncategorized,01/12/2019 00:21,12/01/2019,00:21:00,Kranky,,Different,CD,6
krank130,Tim Hecker,An Imaginary Country,Kranky,"CD, Album",2009,1680465,Uncategorized,01/12/2019 00:10,12/01/2019,00:10:00,Kranky,,Different,CD,5
krank154,Tim Hecker,"Ravedeath, 1972",Kranky,"xLP, Album",2011,2744777,Uncategorized,22/11/2019 17:47,22/11/2019,17:47:00,Kranky,,Different,LP,12
krank161,Tim Hecker,Dropped Pianos,Kranky,"LP, EP",2011,3267920,Uncategorized,22/11/2019 17:42,22/11/2019,17:42:00,Kranky,,Different,LP,24
KRANK213,Dedekind Cut,Tahoe,Kranky,"xLP, Album",2018,11642339,Uncategorized,02/11/2019 11:22,11/02/2019,11:22:00,Kranky,,Different,LP,12
krank217,Grouper,Grid Of Points,Kranky,"LP, Album",2018,11896932,Uncategorized,22/11/2019 17:48,22/11/2019,17:48:00,Kranky,,Different,LP,45
KRANK226,Windy & Carl,Allegiance And Conviction,Kranky,"LP, Album",2020,15009001,Uncategorized,12/05/2020 10:54,05/12/2020,10:54:00,Kranky,,Different,LP,27
"krank 065, krank065",Pan•American,Quiet City,"Kranky, Kranky","CD, Album + DVD-V",2004,290642,Uncategorized,01/12/2019 00:21,12/01/2019,00:21:00,Kranky,Kranky,Same,CD,4
"KRANK100, krank 100",Stars Of The Lid,Stars Of The Lid And Their Refinement Of The Decline,"Kranky, Kranky","xCD, Album",2007,940176,Uncategorized,01/12/2019 00:30,12/01/2019,00:30:00,Kranky,Kranky,Same,CD,5
"KRANK 219, SUNBLIND 10",Tim Hecker,Konoyo,"Kranky, Sunblind Music","xLP, Album",2018,12567577,Uncategorized,23/11/2019 15:51,23/11/2019,15:51:00,Kranky,Sunblind Music,Different,LP,19
"KRANK220, SUNBLIND11",Tim Hecker,Anoyo,"Kranky, Sunblind Music","LP, Album",2019,13614944,Uncategorized,23/11/2019 15:51,23/11/2019,15:51:00,Kranky,Sunblind Music,Different,LP,18
krank239,Tim Hecker,No Highs,"Kranky, Sunblind Music","xLP, Album",2023,27484458,Uncategorized,17/07/2023 03:32,17/07/2023,03:32:00,Kranky,Sunblind Music,Different,LP,26
"KRANK189, GR-014",Grouper,Ruins,"Kranky, Yellow Electric","LP, Album",2014,6236445,Uncategorized,02/11/2019 11:10,11/02/2019,11:10:00,Kranky,Yellow Electric,Different,LP,12
"KRANK223, GR-006A",Grouper,A I A : Dream Loss,"Kranky, Yellow Electric","LP, Album, RE",2019,14309131,Uncategorized,22/11/2019 17:49,22/11/2019,17:49:00,Kranky,Yellow Electric,Different,LP,26
"KRANK224, GR-006B",Grouper,A I A : Alien Observer,"Kranky, Yellow Electric","LP, Album, RE",2019,14309096,Uncategorized,22/11/2019 17:48,22/11/2019,17:48:00,Kranky,Yellow Electric,Different,LP,44
LSINV277LP,Tim Hecker,The North Water (Original Score),"Lakeshore Records, Invada Records UK","LP, Album, ",2022,21834514,Uncategorized,28/01/2022 10:31,28/01/2022,10:31:00,Lakeshore Records,Invada Records UK,Different,LP,10
LAMP003,Jasper TX,I'll Be Long Gone Before My Light Reaches You,Lampse,"CD, Album",2005,546668,Uncategorized,25/12/2019 12:48,25/12/2019,12:48:00,Lampse,,Different,CD,5
BBCLJ30022,Max Richter,Memoryhouse,Late Junction,"CD, Album",2002,9098605,Uncategorized,12/09/2023 00:54,09/12/2023,00:54:00,Late Junction,,Different,CD,3
LMIVLP,Sarah Davachi,Antiphonals,Late Music,"LP, Album",2021,20179525,Uncategorized,19/09/2021 12:12,19/09/2021,12:12:00,Late Music,,Different,LP,41
LMIVLPX,Sarah Davachi,Antiphonals,Late Music,"LP, Album, Ltd, Sil",2021,20183413,Uncategorized,10/09/2021 14:00,09/10/2021,14:00:00,Late Music,,Different,LP,41
LP-DISC-24,Sarah Davachi,Selected Works I,Late Music,"LP, Comp",2023,28097779,Uncategorized,13/09/2023 00:47,13/09/2023,00:47:00,Late Music,,Different,LP,18
LP-DISC-25,Sarah Davachi,Selected Works II,Late Music,"LP, Comp",2023,28097899,Uncategorized,13/09/2023 00:47,13/09/2023,00:47:00,Late Music,,Different,LP,48
none,Sarah Davachi,"Cantus, Descant",Late Music,"xFile, WAV, Album",2020,15927076,Uncategorized,18/09/2020 11:36,18/09/2020,11:36:00,Late Music,,Different,"xFile, WAV, Album",6
"Late Music V, LMVLP",Sarah Davachi,Two Sisters,"Late Music, Late Music","xLP, Album, Ltd, Gre",2022,24443402,Uncategorized,27/09/2022 04:38,27/09/2022,04:38:00,Late Music,Late Music,Same,LP,38
"LMICDX, Late Music I, Late Music II, Late Music II",Sarah Davachi,"Cantus, Descant / Figures In Open Air / Laurus","Late Music, Late Music, Late Music, Late Music","xCD, Album, RE + Box, Comp",2021,19343128,Uncategorized,05/09/2021 14:10,09/05/2021,14:10:00,Late Music,"Late Music, Late Music, Late Music",Different,CD,4
BAY 121V,Murcof,The Alias Sessions,Leaf,"x"", Album, P/Mixed",2021,18821071,Uncategorized,24/08/2021 17:58,24/08/2021,17:58:00,Leaf,,Different,"x"", Album, P/Mixed",4
BAY 23VXX,Murcof,Martes + Utopía,Leaf,"xLP, Comp, RE",2022,25447978,Uncategorized,06/02/2023 23:15,02/06/2023,23:15:00,Leaf,,Different,LP,40
BAY 31 CD,Colleen,Everyone Alive Wants Answers,Leaf,"CD, Album",2003,164709,Uncategorized,20/12/2019 10:50,20/12/2019,10:50:00,Leaf,,Different,CD,7
BAY 40CD,Efterklang,Tripper,Leaf,"CD, Album, Ltd + CDr",2004,339667,Uncategorized,12/09/2023 01:14,09/12/2023,01:14:00,Leaf,,Different,CD,4
BAY 46CD,Phelan Sheppard,Harps Old Master,Leaf,"CD, Album",2006,803140,Uncategorized,12/09/2023 00:57,09/12/2023,00:57:00,Leaf,,Different,CD,5
BAY 48CD,Colleen,The Golden Morning Breaks,Leaf,"CD, Album, Enh",2005,6067319,Uncategorized,14/12/2019 17:54,14/12/2019,17:54:00,Leaf,,Different,CD,5
BAY 53CD,Colleen,Colleen Et Les Boîtes À Musique,Leaf,"CD, MiniAlbum, Enh, Dig",2006,801107,Uncategorized,20/12/2019 10:49,20/12/2019,10:49:00,Leaf,,Different,CD,7
BAY 56CD,Adrian Klumpes,Be Still,Leaf,"CD, Album",2006,801693,Uncategorized,28/11/2019 23:22,28/11/2019,23:22:00,Leaf,,Different,CD,6
BAY 57CD,Colleen,Les Ondes Silencieuses,Leaf,"CD, Album",2007,977413,Uncategorized,20/12/2019 10:42,20/12/2019,10:42:00,Leaf,,Different,CD,5
BAY 58CD,Efterklang,Parades,Leaf,"CD, Album",2007,1229069,Uncategorized,12/09/2023 01:14,09/12/2023,01:14:00,Leaf,,Different,CD,7
BAY 67CD,Murcof,The Versailles Sessions,Leaf,"CD, Album",2008,1531758,Uncategorized,25/11/2019 00:09,25/11/2019,00:09:00,Leaf,,Different,CD,6
DOCK 44CD,Efterklang,Springer,Leaf,"CD, EP, RE, RM",2005,431804,Uncategorized,12/09/2023 01:14,09/12/2023,01:14:00,Leaf,,Different,CD,5
DOCK 46CD,Efterklang,Under Giant Trees,Leaf,"CD, MiniAlbum, Ltd, Num",2007,928971,Uncategorized,12/09/2023 01:14,09/12/2023,01:14:00,Leaf,,Different,CD,4
BAY13CD,Susumu Yokota,Sakura,"Leaf, Skintone","CD, Album",2000,9778412,Uncategorized,12/09/2023 01:04,09/12/2023,01:04:00,Leaf,Skintone,Different,CD,7
LEJ003,Arbol,Dreams Made Of Paper,Lejos Discos,"CD, Album, Enh",2005,449266,Uncategorized,12/09/2023 01:08,09/12/2023,01:08:00,Lejos Discos,,Different,CD,7
c-dsa 54076,Sylvain Chauveau,Nocturne Impalpable,Les Disques Du Soleil Et De L'Acier,"CD, Album",2001,258275,Uncategorized,12/09/2023 01:21,09/12/2023,01:21:00,Les Disques Du Soleil Et De L'Acier,,Different,CD,5
LROCK 02 CDS,Electrelane,Blue Straggler,Let's Rock! Records,"CD, Single",2001,1609275,Uncategorized,07/12/2019 22:39,12/07/2019,22:39:00,Let's Rock! Records,,Different,CD,3
lidar_1,Jasper TX,A Darkness,Lidar,"CD, Album",2007,1761450,Uncategorized,25/12/2019 12:40,25/12/2019,12:40:00,Lidar,,Different,CD,3
ly001 ,Caterina Barbieri (2),Spirit Exit,light-years,"xLP, Ltd, Sil",2022,23823704,Uncategorized,13/07/2022 07:25,13/07/2022,07:25:00,light-years,,Different,LP,21
LINE_027,Richard Chartier + Taylor Deupree,Specification.Fifteen,Line,"CD, Album, Ltd",2006,720554,Uncategorized,07/12/2019 22:17,12/07/2019,22:17:00,Line,,Different,CD,5
Line_030,Evelina Domnitch + Dmitry Gelfand + Various,Camera Lucida,Line,"DVD-V, Comp, Ltd, PAL",2007,972207,Uncategorized,25/12/2019 13:01,25/12/2019,13:01:00,Line,,Different,"DVD-V, Comp, Ltd, PAL",4
LINE_035,Richard Chartier,Further Materials,Line,"CD, Comp, Ltd, RM",2008,1320277,Uncategorized,07/12/2019 22:08,12/07/2019,22:08:00,Line,,Different,CD,3
"LINE_026, 026",Alva Noto,For,"Line, Line","CD, Album, Ltd",2006,730913,Uncategorized,01/12/2019 00:17,12/01/2019,00:17:00,Line,Line,Same,CD,3
L 62,Josephine Foster And The Supposed,All The Leaves Are Gone,Locust Music,"CD, Album",2004,680405,Uncategorized,12/09/2023 01:27,09/12/2023,01:27:00,Locust Music,,Different,CD,4
828 130-2,Violent Femmes,3,"London Records, Slash","CD, Album",1988,1959207,Uncategorized,12/09/2023 01:20,09/12/2023,01:20:00,London Records,Slash,Different,CD,3
ARFF001CD,The Sick Anchors,The Sick Anchors,Lost Dog Recordings,"CD, EP",2002,594767,Uncategorized,07/12/2019 22:37,12/07/2019,22:37:00,Lost Dog Recordings,,Different,CD,2
6 80899 0097-1-0,"Floating Points, Pharoah Sanders & The London Symphony Orchestra",Promises,Luaka Bop,"LP, Album, RE, S/Edition, Mar",2021,21200623,Uncategorized,04/12/2021 07:00,12/04/2021,07:00:00,Luaka Bop,,Different,LP,38
LM082LPC,Eli Keszler,Icons,LuckyMe,"xLP, Album, Ltd, Cle",2021,19306201,Uncategorized,02/07/2021 06:02,07/02/2021,06:02:00,LuckyMe,,Different,LP,25
LUMB017,Cindytalk / Philippe Petit,A Question Of Re-Entry,Lumberton Trading Company,""", Ltd",2011,3259786,Uncategorized,22/11/2019 15:29,22/11/2019,15:29:00,Lumberton Trading Company,,Different,""", Ltd",2
LUMCD012,Sketchie,Rain by High Lantern,Lumenessence Recordings,"CD, Album",2004,322926,Uncategorized,12/09/2023 00:53,09/12/2023,00:53:00,Lumenessence Recordings,,Different,CD,5
mada002-2,Esmerine,Aurora,Madrona Records,"CD, Album",2005,447610,Uncategorized,25/12/2019 12:52,25/12/2019,12:52:00,Madrona Records,,Different,CD,2
MNT 49CD,Six By Seven,Ten Places To Die / England & A Broken Radio,"Mantra Recordings, MFS (2)","CD, Single",1999,1287912,Uncategorized,07/12/2019 23:17,12/07/2019,23:17:00,Mantra Recordings,MFS (2),Different,CD,6
OLE 590-2,Matmos,The Civil War,Matador,"CD, Album, Enh, Dig",2003,1660749,Uncategorized,24/11/2019 18:47,24/11/2019,18:47:00,Matador,,Different,CD,2
OLE1788LP,Circuit Des Yeux,#NAME?,Matador,"LP, Album",2021,20685346,Uncategorized,17/12/2021 10:58,17/12/2021,10:58:00,Matador,,Different,LP,24
"B0000272-52, 946.0102.122 ",Sigur Rós,Untitled #1 (Vaka),"MCA Records, FatCat Records, [PIAS] Recordings, MCA Records, FatCat Records, [PIAS] Recordings","CD, Mini, Bla",2003,2836618,Uncategorized,07/12/2019 22:51,12/07/2019,22:51:00,MCA Records,"FatCat Records, [PIAS] Recordings, MCA Records, FatCat Records, [PIAS] Recordings",Different,CD,7
Mego 054V,"Fennesz, Jim O'Rourke, Peter Rehberg",The Return Of Fenn O'Berg,Mego,"LP, Album",2002,69692,Uncategorized,22/11/2019 17:47,22/11/2019,17:47:00,Mego,,Different,LP,28
MRG 255,Arcade Fire,Funeral,Merge Records,"CD, Album, RE",0,8184880,Uncategorized,07/12/2019 22:50,12/07/2019,22:50:00,Merge Records,,Different,CD,6
MIACD003,Greg Haines,Slumber Tides,Miasmah,"CD, Album",2006,809393,Uncategorized,07/12/2019 23:06,12/07/2019,23:06:00,Miasmah,,Different,CD,2
MIACD004,Rafael Anton Irisarri,Daydreaming,Miasmah,"CD, Album",2007,777884,Uncategorized,25/12/2019 12:49,25/12/2019,12:49:00,Miasmah,,Different,CD,3
MIACD007,Jacaszek,Treny,Miasmah,"CD, Album",2008,1288927,Uncategorized,25/12/2019 12:48,25/12/2019,12:48:00,Miasmah,,Different,CD,2
MIACD009,Elegi,Varde,Miasmah,"CD, Album",2009,1616975,Uncategorized,20/12/2019 10:44,20/12/2019,10:44:00,Miasmah,,Different,CD,5
MIACD011,Simon Scott,Navigare,Miasmah,"CD, Album",2009,1928792,Uncategorized,01/12/2019 00:30,12/01/2019,00:30:00,Miasmah,,Different,CD,5
"MIACD008, miacd008",Jasper TX,Black Sleep,"Miasmah, Miasmah","CD, Album",2008,1382371,Uncategorized,25/12/2019 12:40,25/12/2019,12:40:00,Miasmah,Miasmah,Same,CD,5
MCOSM1017,Ezekiel Honig,Scattered Practices,Microcosm Music,"CD, Album",2006,885699,Uncategorized,01/12/2019 00:13,12/01/2019,00:13:00,Microcosm Music,,Different,CD,6
MIE #045,Áine O'Dwyer,Gallarais,MIE Music,"LP, Album",2017,10848810,Uncategorized,22/11/2019 23:00,22/11/2019,23:00:00,MIE Music,,Different,LP,44
mode 123,John Cage,The Piano Works 5,Mode,"CD, Album",2003,1271883,Uncategorized,07/12/2019 22:31,12/07/2019,22:31:00,Mode,,Different,CD,4
mode 3/6,John Cage,Atlas Eclipticalis With Winter Music,Mode,"xCD, Album, RE, RM",2007,1634813,Uncategorized,07/12/2019 22:12,12/07/2019,22:12:00,Mode,,Different,CD,4
LOVE105CD,Demdike Stare,Wonderland,Modern Love,"CD, Album",2016,10059556,Uncategorized,07/12/2019 23:03,12/07/2019,23:03:00,Modern Love,,Different,CD,7
monika 53,Milenasong,Seven Sisters,Monika Enterprise,"CD, Album",2007,854036,Uncategorized,12/09/2023 01:16,09/12/2023,01:16:00,Monika Enterprise,,Different,CD,5
59,Tied & Tickled Trio,A.R.C.,Morr Music,"DVD-V, PAL + CD + Dig",2006,16024038,Uncategorized,12/09/2023 01:18,09/12/2023,01:18:00,Morr Music,,Different,CD,2
MM053CD,F.S. Blumm,Zweite Meer,Morr Music,"CD, Album, Dig",2005,409074,Uncategorized,12/09/2023 01:13,09/12/2023,01:13:00,Morr Music,,Different,CD,3
none,Colleen,Mort Aux Vaches,Mort Aux Vaches,"CD, Ltd, Num",2006,628283,Uncategorized,20/12/2019 10:42,20/12/2019,10:42:00,Mort Aux Vaches,,Different,CD,6
MFR079,Fani Konstantinidou,Winter Trilogy / The Big Fall,Moving Furniture Records,"CD, Album, Ltd",2020,14476968,Uncategorized,27/04/2020 08:23,27/04/2020,08:23:00,Moving Furniture Records,,Different,CD,4
MFR092,Various,44 x 44 - Orphax Reworked,Moving Furniture Records,"xCD + Box, Ltd",2021,19696195,Uncategorized,13/02/2023 10:11,13/02/2023,10:11:00,Moving Furniture Records,,Different,CD,3
"CHICK017LP, none",Mama Luma,Splendid,"Music Chicken, Wax Records (6), S7","LP, Album, Ltd, Num",2014,5737141,Uncategorized,25/11/2019 12:34,25/11/2019,12:34:00,Music Chicken,"Wax Records (6), S7",Different,LP,34
MOVLP926,BBC Radiophonic Workshop,The Radiophonic Workshop,Music On Vinyl,"LP, Album, RE, ",2013,5139216,Uncategorized,31/10/2019 22:38,31/10/2019,22:38:00,Music On Vinyl,,Different,LP,43
CDStumm150,Moby,Animal Rights,Mute,"CD, Album",1996,3716126,Uncategorized,07/12/2019 22:23,12/07/2019,22:23:00,Mute,,Different,CD,3
CDSTUMM201,Einstürzende Neubauten,Strategies Against Architecture III (1991-2001),Mute,"xCD, Comp",2001,378240,Uncategorized,01/04/2023 16:17,04/01/2023,16:17:00,Mute,,Different,CD,3
LCDMUTEL4,Nick Cave & The Bad Seeds,The Best Of,Mute,"CD, Comp",1998,9465698,Uncategorized,07/12/2019 22:34,12/07/2019,22:34:00,Mute,,Different,CD,2
"CDMUTEL11, 0724357861205",Nick Cave & The Bad Seeds,B-Sides & Rarities,"Mute, Mute","xCD, Comp + Box",2005,429074,Uncategorized,08/12/2019 15:37,12/08/2019,15:37:00,Mute,Mute,Same,CD,5
"LCDStumm164, CDstumm164",Nick Cave & The Bad Seeds,No More Shall We Part,"Mute, Mute, Sum Records (2)","xCD, Album, Ltd",2001,7951414,Uncategorized,02/08/2020 17:35,08/02/2020,17:35:00,Mute,"Mute, Sum Records (2)",Different,CD,3
CATMD143,SubtractiveLAD,No Man's Land,n5MD,"CD, Album",2007,888863,Uncategorized,12/09/2023 01:05,09/12/2023,01:05:00,n5MD,,Different,CD,4
CATMD151,Last Days,These Places Are Now Ruins,n5MD,"CD, Album",2007,1102401,Uncategorized,14/12/2019 17:53,14/12/2019,17:53:00,n5MD,,Different,CD,5
NV 38111,Perry Blake,Broken Statues,Naïve,"CD, Album",2001,1773827,Uncategorized,07/12/2019 22:04,12/07/2019,22:04:00,Naïve,,Different,CD,6
NV3261-1,Perry Blake,Still Life,Naïve,"CD, Album",1999,532005,Uncategorized,07/12/2019 22:36,12/07/2019,22:36:00,Naïve,,Different,CD,4
NKD01,Mark Fell & Will Guthrie,Infoldings,NAKID,"LP, Album, Ltd, Cle",2020,16273520,Uncategorized,03/01/2021 13:20,01/03/2021,13:20:00,NAKID,,Different,LP,39
NKD02,Mark Fell & Will Guthrie,Diffractions,NAKID,"LP, Album, Ltd, Cle",2020,16342917,Uncategorized,03/01/2021 13:20,01/03/2021,13:20:00,NAKID,,Different,LP,26
"nar 008cd, nar008cd",Lincoln (6),Barcelona,"Narwhal Recordings, Narwhal Recordings","CD, MiniAlbum",2000,1431856,Uncategorized,02/08/2020 17:35,08/02/2020,17:35:00,Narwhal Recordings,Narwhal Recordings,Same,CD,4
NA 022 CD,Pauline Oliveros / Stuart Dempster / Panaiotis,Deep Listening,New Albion,"CD, Album",1989,10143681,Uncategorized,25/12/2019 12:38,25/12/2019,12:38:00,New Albion,,Different,CD,4
NA 109 CD,Threnody Ensemble,Timbre Hollow,New Albion,"CD, Album",2000,919999,Uncategorized,12/09/2023 00:56,09/12/2023,00:56:00,New Albion,,Different,CD,3
"Nimbus 1147, NS 1147",Horace Tapscott Sextet,Dial 'B' For Barbra,"Nimbus West Records, Nimbus West Records","xLP, Album, Ltd, RE, RM, ",2021,18850477,Uncategorized,19/06/2022 04:55,19/06/2022,04:55:00,Nimbus West Records,Nimbus West Records,Same,LP,42
ZEN CD78,The Cinematic Orchestra,Man With A Movie Camera,Ninja Tune,"CD, Album",2003,148829,Uncategorized,12/09/2023 01:12,09/12/2023,01:12:00,Ninja Tune,,Different,CD,4
ZENCD114,Skalpel,Konfusion,Ninja Tune,"CD, Album + CD, Comp + MPO",0,531295,Uncategorized,12/09/2023 01:29,09/12/2023,01:29:00,Ninja Tune,,Different,CD,2
ZENCD96,Rainstick Orchestra,The Floating Glass Key In The Sky,Ninja Tune,"CD, Album",2004,343409,Uncategorized,12/09/2023 01:28,09/12/2023,01:28:00,Ninja Tune,,Different,CD,2
"ZENCD 121 X, ZENDV 121 X",Amon Tobin,Foley Room,"Ninja Tune, Ninja Tune","CD, Album, Ltd, Gat + DVD-V, PAL",2007,918558,Uncategorized,12/09/2023 01:09,09/12/2023,01:09:00,Ninja Tune,Ninja Tune,Same,CD,3
"ZENCD 87, ZENCD87",Skalpel,Skalpel,"Ninja Tune, Ninja Tune","CD, Album, Enh",2004,243405,Uncategorized,12/09/2023 01:28,09/12/2023,01:28:00,Ninja Tune,Ninja Tune,Same,CD,7
NOQ073-1,Luke Stewart & Jarvis Earnshaw Quartet,Luke Stewart & Jarvis Earnshaw Quartet,No Quarter,LP,2021,20510095,Uncategorized,01/02/2022 10:53,02/01/2022,10:53:00,No Quarter,,Different,LP,24
NBLP121,Jones Jones - Larry Ochs / Mark Dresser / Vladimir Tarasov,A Jones In Time Saves Nine,NoBusiness Records,"LP, Album, Ltd",2018,13292454,Uncategorized,23/11/2019 18:57,23/11/2019,18:57:00,NoBusiness Records,,Different,LP,10
564164-1,Laurie Anderson & Kronos Quartet,Landfall,Nonesuch,"xLP, Album",2018,11562717,Uncategorized,03/11/2019 10:59,11/03/2019,10:59:00,Nonesuch,,Different,LP,28
NON27,The Embassadors,Coptic Dub,Nonplace,"CD, Album, Dig",2009,2072057,Uncategorized,24/11/2019 18:47,24/11/2019,18:47:00,Nonplace,,Different,CD,6
NNF029,Las Vegas Club,Whiskey Flats,Not Not Fun Records,"CDr, Album",2005,2673731,Uncategorized,25/12/2019 13:09,25/12/2019,13:09:00,Not Not Fun Records,,Different,CD,4
amina1,Amiina,AnimaminA,Not On Label (Amiina Self-released),"CD, EP",2005,1467309,Uncategorized,07/12/2019 23:04,12/07/2019,23:04:00,Not On Label (Amiina Self-released),,Different,CD,4
AFCD001,Arcade Fire,Arcade Fire,Not On Label (Arcade Fire Self-released),"CD, EP",2003,415633,Uncategorized,07/12/2019 22:25,12/07/2019,22:25:00,Not On Label (Arcade Fire Self-released),,Different,CD,5
SM7993,Blow Up Hollywood,Fake,Not On Label (Blow Up Hollywood Self-released),"CD, Album",2004,5129431,Uncategorized,07/12/2019 22:33,12/07/2019,22:33:00,Not On Label (Blow Up Hollywood Self-released),,Different,CD,3
001 Magaletti Sakini,Valentina Magaletti & Laila Sakini,Cupo,Not On Label (Valentina Magaletti Self-Released),"LP, Album, Ltd, Cle",2023,26289104,Uncategorized,30/03/2023 11:16,30/03/2023,11:16:00,Not On Label (Valentina Magaletti Self-Released),,Different,LP,44
N-043,Mika Vainio + Ryoji Ikeda + Alva Noto,Live 2002,Noton,"LP, Ltd, Num, Whi",2018,11474152,Uncategorized,22/11/2019 23:21,22/11/2019,23:21:00,Noton,,Different,LP,30
N-044,Alva Noto + Ryuichi Sakamoto,Glass,Noton,"LP, Album, Cle",2018,11567322,Uncategorized,23/11/2019 18:56,23/11/2019,18:56:00,Noton,,Different,LP,23
N-056,Alva Noto,HYbr:ID I,Noton,"CD, Album",2021,20959651,Uncategorized,19/11/2021 15:12,19/11/2021,15:12:00,Noton,,Different,CD,7
N-058,Alva Noto,Kinder Der Sonne,Noton,"xLP, Album",2023,26972957,Uncategorized,13/09/2023 00:47,13/09/2023,00:47:00,Noton,,Different,LP,22
OG 532,Blue Notes,Blue Notes For Johnny,Ogun,LP,1987,594507,Uncategorized,21/07/2022 00:24,21/07/2022,00:24:00,Ogun,,Different,LP,21
OECD 089,Troum & All Sides,Shutûn,Old Europa Cafe,"CD, Album",2006,858460,Uncategorized,07/12/2019 23:20,12/07/2019,23:20:00,Old Europa Cafe,,Different,CD,7
TPLP359CD,Björk,Greatest Hits,One Little Indian,"CD, Comp, Gat",2002,75474,Uncategorized,07/12/2019 22:27,12/07/2019,22:27:00,One Little Indian,,Different,CD,3
DVD 4,Various,Onedotzero_select dvd 4,Onedotzero,DVD-V,2005,4874011,Uncategorized,25/12/2019 13:03,25/12/2019,13:03:00,Onedotzero,,Different,DVD-V,5
"4801356, 00602448013569",Brian Eno,Foreverandevernomore,"Opal Records, UMC","LP, Album, ",2022,24817874,Uncategorized,06/02/2023 23:16,02/06/2023,23:16:00,Opal Records,UMC,Different,LP,23
"ORGM-2120, FLP40122",The Art Ensemble Of Chicago,Tutankhamun,"ORG Music, Freedom","LP, Album, RE, RM",2019,13298153,Uncategorized,23/11/2019 15:46,23/11/2019,15:46:00,ORG Music,Freedom,Different,LP,34
ROKU025,"Black Top (2) Presents: Hamid Drake, Elaine Mitchener, William Parker, Orphy Robinson, Pat Thomas",Some Good News,Otoroku,"xCD, Album",2021,17702398,Uncategorized,17/03/2022 13:56,17/03/2022,13:56:00,Otoroku,,Different,CD,7
ROKURE005,Blue Notes,Blue Notes For Mongezi,Otoroku,"xLP, Album, Ltd, RE",2022,24012134,Uncategorized,12/08/2022 15:21,08/12/2022,15:21:00,Otoroku,,Different,LP,27
OTR-007 ,Horace Tapscott With  The Pan-Afrikan Peoples Arkestra,Live At I.U.C.C.,Outernational Sounds,"xLP, RE, ",2019,13406355,Uncategorized,27/12/2020 11:09,27/12/2020,11:09:00,Outernational Sounds,,Different,LP,28
OTR-009 ,Horace Tapscott Conducting The Pan-Afrikan Peoples Arkestra,The Call,Outernational Sounds,"LP, Album, P/Unofficial, RE",2019,13406763,Uncategorized,23/04/2022 10:06,23/04/2022,10:06:00,Outernational Sounds,,Different,LP,20
PAL-053,Chris Corsano & Bill Orcutt,Brace Up!,Palilalia Records,"LP, Album",2018,12724732,Uncategorized,23/11/2019 21:12,23/11/2019,21:12:00,Palilalia Records,,Different,LP,43
PAN 32,Eli Keszler,Catching Net,Pan (3),"xCD, Album, Promo",2012,7166340,Uncategorized,28/11/2019 23:26,28/11/2019,23:26:00,Pan (3),,Different,CD,4
PAN 87,Puce Mary,The Drought,Pan (3),"LP, Album",2019,13606414,Uncategorized,23/11/2019 21:18,23/11/2019,21:18:00,Pan (3),,Different,LP,21
PAN106,Beatrice Dillon,Workaround,Pan (3),"LP, Ltd, RP, Whi",2020,16989942,Uncategorized,27/01/2021 07:01,27/01/2021,07:01:00,Pan (3),,Different,LP,21
"PAN 53. CD 2015, PAN 53",Oren Ambarchi,Live Knots,"Pan (3), Pan (3)","CD, Album",2015,6677689,Uncategorized,01/12/2019 00:24,12/01/2019,00:24:00,Pan (3),Pan (3),Same,CD,5
pac 101,Songs: Ohia,Mi Sei Apparso Come Un Fantasma,Paper Cup,"CD, Album",2001,672948,Uncategorized,12/09/2023 01:01,09/12/2023,01:01:00,Paper Cup,,Different,CD,3
