Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
CDP 7243 5 25616 2 9,Sparklehorse,It's A Wonderful Life,Capitol Records,"CD, Album, RP",,0,9868863,Uncategorized,07/12/2019 22:26,,,
CDP 7243 5 29684 2 8,Radiohead,Kid A (Book And Compact Disc),Capitol Records,"CD, Album",,2000,345422,Uncategorized,23/11/2019 20:23,,,
"0777 7 96508 2 8, CDEST 2196",Mazzy Star,She Hangs Brightly,"Capitol Records, Capitol Records","CD, Album, RP",,0,10074111,Uncategorized,07/12/2019 22:23,,,
"7243 8 27224 2 7, CDEST 2288",Mazzy Star,Among My Swan,"Capitol Records, Capitol Records","CD, Album, RP",,0,10074194,Uncategorized,07/12/2019 22:32,,,
7243 8 29842 2 1,Butthole Surfers,Electriclarryland,"Capitol Records, EMI Music Canada","CD, Album",,1996,1263203,Uncategorized,02/08/2020 17:34,,,
CAP 21836,Don Cherry,Live In Stockholm,Caprice Records,"2xLP, Album",,2013,5210884,Uncategorized,26/06/2021 03:42,,,
cak 31,Belong,October Language,Carpark Records,"CD, Album",,2006,617040,Uncategorized,12/09/2023 01:07,,,
CMEDD 1121,Comus,Song To Comus (The Complete Collection),Castle Music,"2xCD, Comp, RP",,0,8468631,Uncategorized,14/12/2019 17:55,,,
CH49,Tenniscoats,Live Wanderus,Chapter Music,"CD, Album",,2005,908900,Uncategorized,20/12/2019 10:45,,,
chem018cd,Mogwai,Young Team,Chemikal Underground,"CD, Album",,1997,6182492,Uncategorized,07/12/2019 22:45,,,
chem033cd,Mogwai,Come On Die Young,Chemikal Underground,"CD, Album",,0,8735277,Uncategorized,07/12/2019 22:37,,,
7243 879867 0 1,Starsailor,Alcoholic,Chrysalis,"CD, Maxi, Enh",,2001,1522181,Uncategorized,07/12/2019 22:23,,,
towerblock cd 021,Swod,Gehen,City Centre Offices,"CD, Album",,2004,317224,Uncategorized,25/12/2019 12:36,,,
Towerblock CD 041,Swod,Sekunden,City Centre Offices,"CD, Album, Enh, Promo",,2007,3003684,Uncategorized,25/12/2019 12:37,,,
SLANG 1042592,The Album Leaf,Into The Blue Again,City Slang,"CD, Album, Enh",,2006,767281,Uncategorized,12/09/2023 01:08,,,
SLANG 1047822P,Menomena,Friend And Foe,City Slang,"CD, Album",,2007,4307873,Uncategorized,12/09/2023 01:23,,,
"20184-2, 7243 812124 2 4",The Notwist,Neon Golden,"City Slang, Virgin","CD, Album",,2002,887683,Uncategorized,24/11/2019 15:37,,,
CLAP004,Encre,Flux,Clapping Music,"CD, Album",,2004,392329,Uncategorized,07/12/2019 22:23,,,
CSC 014,David Kristian + Ryosuke Aoike,Ghost Storeys,Cocosolidciti,"CD, Album + DVD-V, NTSC",,2006,871101,Uncategorized,07/12/2019 22:58,,,
CSR138CD,Machinefabriek,Vloed,Cold Spring,"CD, Album, RE",,2010,2561196,Uncategorized,20/12/2019 10:47,,,
CSR276LP,Coil,Stolen & Contaminated Songs,Cold Spring,"2xLP, Album, RE",,2019,14576658,Uncategorized,14/08/2020 08:21,,,
2J 054-70231,"Mikis Theodorakis, Γρηγόρης Μπιθικώτσης, Στέλιος Καζαντζίδης",Πολιτεία,Columbia,LP,,1976,2341614,Uncategorized,25/11/2019 12:33,,,
COL 465653 2,Midnight Oil,Blue Sky Mining,Columbia,"CD, Album, RE",,0,3758566,Uncategorized,07/12/2019 22:35,,,
MS 7207,Harry Partch,The World Of Harry Partch,Columbia Masterworks,"LP, Album",,1969,833758,Uncategorized,22/11/2019 18:05,,,
RZCM-45844,Ryuichi Sakamoto,Koko,Commmons,"CD, Single, Dig",,2008,1609801,Uncategorized,01/12/2019 00:08,,,
RZCM-46129,Ryuichi Sakamoto,Out Of Noise,Commmons,"CD, Album",,2009,3151107,Uncategorized,01/12/2019 00:08,,,
"HARD 22 CDX, 74321 48769 2",Death In Vegas,Dead Elvis,"Concrete, Deconstruction","CD, Album, RE",,1997,1223706,Uncategorized,12/09/2023 01:13,,,
CTITTTLP2017,Cosey Fanni Tutti,Time To Tell,Conspiracy International,"LP, Album, Dlx, RE, RM, Cle",,2017,11145265,Uncategorized,31/10/2019 23:09,,,
CORE021,Immense,Hidden Between Sleeves,Conspiracy Records (2),"CD, Album",,2004,1383772,Uncategorized,25/12/2019 12:47,,,
cst018-2,A Silver Mt. Zion,Born Into Trouble As The Sparks Fly Upward.,Constellation,"CD, Album",,2001,95247,Uncategorized,25/12/2019 12:34,,,
CST027-2,A Silver Mt. Zion,"This Is Our Punk-Rock, Thee Rusted Satellites Gather+Sing,",Constellation,"CD, Album",,2003,194902,Uncategorized,25/12/2019 12:34,,,
cst030-2,A Silver Mt. Zion,"The ""Pretty Little Lightning Paw"" E.P.",Constellation,"CD, EP",,2004,261626,Uncategorized,25/12/2019 12:41,,,
cst033-2,A Silver Mt. Zion,Horses In The Sky,Constellation,"CD, Album",,2005,430279,Uncategorized,25/12/2019 12:37,,,
CST063-2,A Silver Mt. Zion,Kollaps Tradixionales,Constellation,"CD, Album, Ltd",,2010,2173134,Uncategorized,25/12/2019 13:07,,,
CST113-1,Colin Stetson And Sarah Neufeld,Never Were The Way She Was,Constellation,"LP, Album, 180",,2015,6887839,Uncategorized,02/11/2019 11:19,,,
CFK018,Rebekka Karijord,Music For Film And Theatre,Control Freak Kitten Records,"CD, Album, Dig",,2014,5212995,Uncategorized,14/12/2019 17:54,,,
NIFE 010V,Current 93,"Baalstorm, Sing Omega",Coptic Cat,"LP, Album, Red",,2010,2296958,Uncategorized,22/11/2019 18:07,,,
CR03,Mika Vainio & Franck Vigroux,"Peau Froide, Léger Soleil",Cosmo Rhythmatic,"CD, Album",,2015,7613352,Uncategorized,08/02/2023 04:56,,,
CS007,Ollie Olsen,Simulated,Creative Space Records,"CD, Album",,2007,905002,Uncategorized,01/12/2019 00:16,,,
Crónica 027~2006,Stephan Mathieu & Janek Schaefer,Hidden Name,Crónica,"CD, Album",,2006,706326,Uncategorized,01/12/2019 00:36,,,
DAIS 103,Time Machines,Time Machines,Dais Records,"2xLP, Album, Ltd, RE, RM, RP, Yel",,2018,11538670,Uncategorized,14/08/2020 08:23,,,
DAIS 114,Coil Presents Black Light District,A Thousand Lights In A Darkened Room,Dais Records,"2xLP, Album, RE, RM",,2018,12707439,Uncategorized,12/09/2021 15:17,,,
dais155,Coil,Musick To Play In The Dark,Dais Records,"LP + LP, S/Sided, Etch + Album, Ltd, RE, RM, Cle",,2020,16286658,Uncategorized,01/12/2020 14:59,,,
dais184,Coil,Musick To Play In The Dark²,Dais Records,"LP + LP, S/Sided, Etch + Album, Ltd, RE, Bla",,2022,23038940,Uncategorized,02/05/2022 10:54,,,
DAIS186,Coil,Constant Shallowness Leads To Evil,Dais Records,"2xLP, Album, Ltd, RE, RM, Cle",,2022,24168164,Uncategorized,27/09/2022 04:36,,,
DWR009,Oren Ambarchi / Eli Keszler,Alps,Dancing Wayang,"LP, Ltd, Num",,2014,5996479,Uncategorized,23/11/2019 15:41,,,
drl 027-2,Windy & Carl,"Antarctica (The Bliss Out, Vol. 2)",Darla Records,"CD, Album",,1997,13609629,Uncategorized,28/11/2019 23:30,,,
DRL248-1,Harold Budd,In The Mist,Darla Records,"2xLP, Album, Ltd",,2012,3743759,Uncategorized,31/10/2019 22:58,,,
DEATH039LP,No Artist,"London Pirate Radio Adverts 1984-1993, Vol. 1",Death Is Not The End,"LP, Comp, Cle",,2021,21340384,Uncategorized,17/12/2021 10:58,,,
2717098,Ryuichi Sakamoto,Playing The Piano / Out Of Noise,Decca,"CD, Comp + CD, Album",,2009,12829502,Uncategorized,23/11/2019 10:55,,,
"485 5915, 4855915",Ludovico Einaudi,Cinema,"Decca, Decca","2xLP, Album, Comp",,2021,19017871,Uncategorized,24/08/2021 17:59,,,
"74321 661992, HARD41CD",Death In Vegas,The Contino Sessions,"Deconstruction, Concrete","CD, Album, Enh, Sli",,1999,864793,Uncategorized,12/09/2023 01:13,,,
Dekorder 026,Daniel Padden,Pause For The Jet,Dekorder,LP,,2008,1442769,Uncategorized,23/11/2019 21:21,,,
den109,Aun (2),Phantom Ghost,Denovali Records,"LP, Album, Ltd",,2011,4001414,Uncategorized,23/11/2019 21:24,,,
DEN157,The Alvaret Ensemble,The Alvaret Ensemble,Denovali Records,"LP, Whi + LP + Album, Ltd",,2012,4163421,Uncategorized,23/11/2019 15:45,,,
den215,Thomas Köner,Tiento De Las Nieves,Denovali Records,"2x12"", Album, Ltd, Whi",,2014,6394778,Uncategorized,22/11/2019 23:24,,,
0289 479 9842 6,Jóhann Jóhannsson,Englabörn & Variations,Deutsche Grammophon,"LP, Album, RE, RM, 180 + LP, 180 + Gat",,2018,11750094,Uncategorized,03/11/2019 10:50,,,
479 6968,Arvo Pärt - Gil Shaham / Adele Anthony / Göteborgs Symfoniker / Neeme Järvi,"Tabula Rasa, Fratres, Symphony No. 3",Deutsche Grammophon,"LP, Album",,2017,9901452,Uncategorized,23/11/2019 21:19,,,
DIGIV020,Carousell,Black Swallow & Other Songs,Digitalis Recordings,"LP, Album, Ltd, Cle",,2011,2801442,Uncategorized,22/11/2019 15:26,,,
DGMLP1,Fripp & Eno,(No Pussyfooting),"Discipline Global Mobile, Opal Records","LP, Album, RE, Gat",,2014,5599171,Uncategorized,03/11/2019 11:01,,,
DOL709MB,John Coltrane,Blue Train ,DOL,"LP, Album, RE, Blu",,2016,8635682,Uncategorized,14/02/2020 09:36,,,
