Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"RCD2034, RCD 2034",Susanna And The Magical Orchestra,List Of Lights And Buoys,"Rune Grammofon, Rune Grammofon","CD, Album",,2004,335775,Uncategorized,22/11/2019 16:23,,,
"RLP3090, RLP 3090",Susanna And The Magical Orchestra,3,"Rune Grammofon, Rune Grammofon","2xLP, Ltd, 180",,2009,2342991,Uncategorized,06/06/2021 06:38,,,
RHMC 005,Interstellar Funk,Artificial Dancers (Waves Of Synth),Rush Hour (4),"2x12"", Comp",,2020,14942272,Uncategorized,24/07/2020 12:17,,,
FRKWYS14,Tashi Wada With Yoshi Wada And Friends,Nue,Rvng Intl.,"LP, Album, Ltd",,2018,12588270,Uncategorized,22/11/2019 16:24,,,
FRKWYS16,"Ian William Craig, Daniel Lentz",Frkwys Vol. 16: In A Word,RVNG Intl.,LP,,2020,17480437,Uncategorized,21/03/2021 07:46,,,
RVNGNL14,Julia Holter,Ekstasis,Rvng Intl.,"2x12"", Album",,2012,3469484,Uncategorized,22/11/2019 18:00,,,
RVNGNL59,Greg Fox (2),Contact,Rvng Intl.,"LP, Album, Ltd, Blu",,2020,15720807,Uncategorized,18/09/2020 11:37,,,
MNWP 332,Midnight Choir,Amsterdam Stranded,S2 Records,"LP, Album",,1998,2830140,Uncategorized,22/11/2019 18:03,,,
"Sähkö-012CD, Sähkö-020, No: 20, 20",Ø,Kantamoinen,"Sähkö Recordings, Sähkö Recordings, Sähkö Recordings, Sähkö Recordings","CD, Album",,2005,453701,Uncategorized,28/11/2019 23:22,,,
SC76,Songs: Ohia,The Magnolia Electric Co,Secretly Canadian,"CD, Album, Dig",,2003,5678893,Uncategorized,12/09/2023 00:53,,,
sedcd045,Stefano Pilia,The Suncrows Fall And Tree,Sedimental,"CD, Album, Ltd",,2006,956705,Uncategorized,07/12/2019 22:06,,,
SETCD134,Josh Ritter,Golden Age Of Radio,Setanta,"CD, Album",,2003,2115670,Uncategorized,07/12/2019 22:39,,,
SP099,Eli Keszler,Stadium,Shelter Press,"2xLP, Ltd, Cle",,2018,12654487,Uncategorized,22/11/2019 23:29,,,
SP115,Okkyung Lee,Yeo​-​Neun,Shelter Press,"LP, Album",,2020,15281036,Uncategorized,24/04/2021 00:52,,,
SP134,Claire Rousay,Everything Perfect Is Already Here,Shelter Press,"LP, Album, Ltd, Sil",,2022,22997771,Uncategorized,04/05/2022 04:44,,,
STS350CD,Various,Smalltown Supersound Remix Anthology Vol. 1-4 2002-2022,Smalltown Supersound,"4xCD, Comp, Box",,2023,27178851,Uncategorized,01/08/2023 14:41,,,
STS402CD,Deathprod,Sow Your Gold In The White Foliated Earth (A Composition For Ensemble Musikfabrik's Harry Parch Instruments),Smalltown Supersound,CD,,2022,24608687,Uncategorized,08/10/2022 11:02,,,
STSAFJ199LP,Mats Gustafsson & Christian Marclay,Link,Smalltown Supersound,LP,,2019,13511599,Uncategorized,30/08/2020 15:48,,,
STSAFJ200LP,Joe McPhee & Paal Nilssen-Love,Lift Every Voice And Sing,Smalltown Supersound,LP,,2019,13917737,Uncategorized,12/11/2019 21:15,,,
SMTG 5-015,Anduin + Jasper TX,The Bending Of Light,SMTG Limited,"CD, Album",,2009,1792033,Uncategorized,25/11/2019 00:10,,,
SMTG 5-019,Anduin,Abandoned In Sleep,SMTG Limited,"CD, Album",,2009,2034874,Uncategorized,25/11/2019 00:10,,,
SUNCD095-2,A Northern Chorus,Bitter Hands Resign,Sonic Unyon,"CD, Album",,2005,783298,Uncategorized,07/12/2019 23:06,,,
BSW 469461-2,Various,Rock With The Legend,Sony Music Entertainment (Greece) Α.Ε.,"CD, Comp",,1991,3812163,Uncategorized,12/09/2023 01:18,,,
SJR LP265-Record B,Various,Deutsche Elektronische Musik 2 (Experimental German Rock And Electronic Musik 1971-83) (Record B),Soul Jazz Records,"2xLP, Comp",,2013,4334058,Uncategorized,31/10/2019 23:03,,,
SJRLP494-Record B,Various,Deutsche Elektronische Musik 2 (Experimental German Rock And Electronic Musik 1971-83) (Record B),Soul Jazz Records,"2xLP, Comp, RE",,2022,24081428,Uncategorized,12/08/2022 15:13,,,
"CDSOURXF 054, 7243 581947 0 8",Turin Brakes,Ether Song,"Source, Source","CD, Album, Copy Prot. + CD, Enh + S/Edition",,2003,1336072,Uncategorized,02/08/2020 17:34,,,
SUNN46,Oren Ambarchi,Triste,Southern Lord,"CD, Album, RE",,2005,533688,Uncategorized,01/12/2019 00:25,,,
"PAWCD1, 946.0010.020",Mogwai,Rock Action,"Southpaw Recordings, [PIAS] Recordings","CD, Album",,2001,142858,Uncategorized,07/12/2019 22:42,,,
ORBIT 029 CD,Amp,L'Amour Invisible,Space Age Recordings,"CD, Album",,2002,303191,Uncategorized,01/12/2019 00:26,,,
KK: 019,Stephan Mathieu + Taylor Deupree,Transcriptions,Spekk,"CD, Album",,2009,1814969,Uncategorized,25/12/2019 12:55,,,
"SPOON64, 5400863056780",Can,Live In Brighton 1975,"Spoon Records, Mute, Spoon Records, Mute","3xLP, Album, Ltd, Gol",,2021,21189781,Uncategorized,21/09/2022 07:53,,,
VAN  85,Bronnt Industries Kapital,Virtute Et Industria,Static Caravan,"CD, Album, Ltd",,2005,458755,Uncategorized,07/12/2019 22:29,,,
staubgold 83,Pedal (2),Pedal,Staubgold,"CD, Album",,2008,1310408,Uncategorized,12/09/2023 01:24,,,
STRUT266LP,The Sun Ra Arkestra Meets Salah Ragab Plus The Cairo Jazz Band,In Egypt,Strut,"LP, Album, RE, RM",,2022,22816835,Uncategorized,23/04/2022 10:06,,,
STRUT290CD,The Pyramids (3),Aomawa (The 1970s Recordings),Strut,"CD, Album, RE + CD, Album, RE + CD, Album, RE + CD",,2022,24273797,Uncategorized,08/02/2023 04:56,,,
STRUT153LPG,The Sun Ra Arkestra,Swirling,"Strut, Art Yard","2xLP, Album, Ltd, Gol",,2020,16131035,Uncategorized,12/12/2020 10:21,,,
STRUT237LP,Sun Ra,Lanquidity,"Strut, Art Yard, Philly Jazz (3)","LP, Album, RE",,2021,20234446,Uncategorized,24/12/2021 07:06,,,
SOD-115,Sarah Davachi,All My Circles Run,Students Of Decay,"LP, Album",,2017,9723202,Uncategorized,23/11/2019 21:13,,,
SOD96,En (7),Already Gone,Students Of Decay,"LP, Album, Ltd",,2012,3539234,Uncategorized,22/11/2019 18:16,,,
SR 203,Kim Cascone / Scanner,The Crystalline Address,Sub Rosa,"CD, Album",,2002,231358,Uncategorized,25/11/2019 00:14,,,
SR190,Various,An Anthology Of Noise & Electronic Music / First A-Chronology 1921 – 2001,Sub Rosa,"2xCD, Comp, RP",,0,2459487,Uncategorized,25/11/2019 00:18,,,
SR194,Philip Jeck,Host,Sub Rosa,"CD, Album, Enh",,2003,197802,Uncategorized,25/12/2019 12:32,,,
SR301,Novi_sad,Inhumane Humans,Sub Rosa,"CD, Album, Ltd",,2010,2676231,Uncategorized,01/12/2019 00:28,,,
SV097,Steve Reich,Drumming,Superior Viaduct,"2xLP, Album, RE",,2018,12203736,Uncategorized,31/10/2019 23:21,,,
15,Clouwbeck,From Which The River Rises,Sustain-Release,CDr,,2010,2379348,Uncategorized,01/12/2019 00:33,,,
"74 W, TOE-CD-74",John Cale / Tony Conrad / Angus MacLise / La Monte Young / Marian Zazeela,Inside The Dream Syndicate Volume I: Day Of Niagara (1965),"Table Of The Elements, Table Of The Elements","CD, Album",,2000,11859697,Uncategorized,01/12/2019 00:22,,,
"Fm 100, TOE-LP-100",Fennesz,June,"Table Of The Elements, Table Of The Elements","12"", S/Sided, Etch, Ltd, Ora",,2008,1565608,Uncategorized,25/11/2019 12:33,,,
TAL-011,The National,Sad Songs For Dirty Lovers,Talitres Records,"CD, Album",,2003,381150,Uncategorized,07/12/2019 22:35,,,
TAL-031,"Thee, Stranded Horse",Churning Strides,Talitres Records,"CD, Album",,2007,934776,Uncategorized,12/09/2023 01:01,,,
TRR 108,Mono (7) & World's End Girlfriend,Palmless Prayer / Mass Murder Refrain,Temporary Residence Limited,"CD, Album",,2006,775151,Uncategorized,01/12/2019 00:35,,,
TRR043LP,Fridge,Happiness,Temporary Residence Limited,"2xLP, Album, RE",,2023,27208770,Uncategorized,04/06/2023 09:59,,,
trr109,Eluvium,When I Live By The Garden And The Sea,Temporary Residence Limited,"CD, EP",,2006,842568,Uncategorized,12/09/2023 01:12,,,
trr110,Eluvium,Copia,Temporary Residence Limited,"CD, Album",,2007,905414,Uncategorized,12/09/2023 01:02,,,
TRR312,William Basinski & Lawrence English,Selva Oscura,Temporary Residence Limited,"LP, Album",,2018,12672640,Uncategorized,03/11/2019 10:56,,,
TRR342LP,Various,Ultrasonic,Temporary Residence Limited,"2xLP, S/Edition",,2020,15558989,Uncategorized,24/07/2020 12:15,,,
TRR 43,Fridge,Happiness,"Temporary Residence Limited, Brainwashed Recordings","CD, Album",,2001,97282,Uncategorized,07/12/2019 22:02,,,
TRR48,Fridge,EPH Reissue,"Temporary Residence Limited, Brainwashed Recordings","CD, Album, RE + CD, Comp",,2002,66032,Uncategorized,07/12/2019 22:19,,,
AS-11-lp,Getachew Mekuria & The Ex & Guests,Moa Anbessa,Terp Records,"LP, Album, RE",,2009,1951714,Uncategorized,25/11/2019 18:35,,,
TTR006LP,James Blood Ulmer With The Thing (2),Baby Talk (Live At Molde International Jazz Festival 2015),The Thing Records,"LP, Album",,2017,10817292,Uncategorized,02/11/2019 11:16,,,
TTR007LP,The Thing (2),Again,The Thing Records,"LP, Album",,2018,11978980,Uncategorized,02/11/2019 11:15,,,
TWI 2,Jóhann Jóhannsson,Dís,The Worker's Institute,"CD, Album, RE",,2005,1933620,Uncategorized,12/09/2023 01:24,,,
TLR-137,Pelt,Reticence / Resistance,Three Lobed Recordings,"LP, Album, Ltd",,2021,20956099,Uncategorized,12/08/2022 15:19,,,
thrill 133,David Byrne,Lead Us Not Into Temptation - Music From The Film Young Adam,Thrill Jockey,"CD, Album",,2003,2354303,Uncategorized,07/12/2019 22:30,,,
THRILL 147,Radian,Juxtaposition,Thrill Jockey,"CD, Album",,2004,316926,Uncategorized,20/12/2019 10:48,,,
thrill 194,Stefan Németh,Film,Thrill Jockey,"CD, Album",,2008,1195194,Uncategorized,01/12/2019 00:24,,,
THRILL 246,Fennesz • David Daniell • Tony Buck,Knoxville,Thrill Jockey,"CD, Album",,2010,2383918,Uncategorized,25/12/2019 12:46,,,
thrill 311,Evan Caminiti,Dreamless Sleep,Thrill Jockey,"LP, Album",,2012,3819056,Uncategorized,23/11/2019 18:53,,,
thrill 313,Guardian Alien,See The World Given To A One Love Entity,Thrill Jockey,"LP, Album",,2012,3869361,Uncategorized,09/09/2020 11:37,,,
thrill 401,Matmos,Ultimate Care II,Thrill Jockey,"LP, Album",,2016,8165623,Uncategorized,03/11/2019 10:49,,,
thrill 424,Radian,On Dark Silent Off,Thrill Jockey,"LP, Album",,2016,9274175,Uncategorized,23/11/2019 21:27,,,
Thrill 552,Maya Shenfeld,In Free Fall,Thrill Jockey,"LP, Album, Ltd, Cle",,2022,21877864,Uncategorized,08/02/2023 04:55,,,
tippy 007,Tindersticks,The Trojan Horse,Tippy Toe,"CD, EP, Ltd",,2003,1356056,Uncategorized,14/12/2019 17:58,,,
TSQ2134,A Broken Consort,Box Of Birch,Tompkins Square,"CD, Album, RE, RM",,2009,1797040,Uncategorized,07/12/2019 21:59,,,
TSQ2349,A Broken Consort,Crow Autumn,Tompkins Square,"LP, Album, Ltd",,2010,2143779,Uncategorized,23/11/2019 18:52,,,
"TSQ2332, none",A Broken Consort,Crow Autumn,"Tompkins Square, Sustain-Release","CD, Album + CDr, Album, Ltd",,2010,2163193,Uncategorized,01/12/2019 00:34,,,
PURE 162 CD,Electrelane,Axes,Too Pure,"CD, Album",,2005,456081,Uncategorized,07/12/2019 22:26,,,
TO:115V,Fennesz,Agora,Touch,"LP, Album",,2019,13922753,Uncategorized,03/11/2019 10:58,,,
TO:30,Ryoji Ikeda,+/-,Touch,"CD, Album, RP",,2006,1085437,Uncategorized,25/12/2019 12:31,,,
TO:50,Biosphere,Substrata²,Touch,"CD, Album, RM + CD, Album + RE",,0,10325983,Uncategorized,24/11/2019 18:45,,,
TO:53v,Fennesz,Venice,Touch,"2xLP, Album, RE",,2014,6189623,Uncategorized,02/11/2019 11:25,,,
TO:59,Phill Niblock,Touch Food,Touch,"2xCD, Album",,2003,361923,Uncategorized,24/11/2019 15:39,,,
TO:61,Oren Ambarchi,Grapes From The Estate,Touch,"CD, Album",,2004,300016,Uncategorized,01/12/2019 00:25,,,
TO:64,Jóhann Jóhannsson,Virðulegu Forsetar,Touch,"CD, Album + DVD-A, Album, Multichannel",,2004,331187,Uncategorized,12/09/2023 01:27,,,
TO:66CD,Biosphere,Dropsonde,Touch,"CD, Album",,2006,586982,Uncategorized,07/12/2019 22:29,,,
TO:67,Philip Jeck,Sand.,Touch,"CD, Album",,2008,1263335,Uncategorized,25/12/2019 12:33,,,
TO:70,Hildur Guðnadóttir,Without Sinking,Touch,"CD, Album",,2009,7471591,Uncategorized,01/12/2019 00:12,,,
TO:72,Mika Vainio,Aíneen Musta Puhelin = Black Telephone Of Matter,Touch,"CD, Album",,2009,1766205,Uncategorized,28/11/2019 23:26,,,
TO:76,Fennesz,Black Sea,Touch,"CD, Album, Dig",,2008,1496410,Uncategorized,25/12/2019 12:46,,,
TO:78,Oren Ambarchi,In The Pendulum's Embrace,Touch,"CD, Album, Dig",,2007,1034668,Uncategorized,25/11/2019 00:17,,,
TO:79,Phill Niblock,Touch Strings,Touch,"2xCD, Album",,2009,1965301,Uncategorized,24/11/2019 15:38,,,
TO:81,Philip Jeck,An Ark For The Listener,Touch,"CD, Album",,2010,2367315,Uncategorized,25/12/2019 12:31,,,
TO:83V,Oren Ambarchi,Audience Of One,Touch,"2xLP, Album, Ltd",,2012,3793722,Uncategorized,03/11/2019 10:57,,,
Tone 31,Lawrence English,Kiri No Oto,Touch,"CD, Album",,2008,1369671,Uncategorized,24/11/2019 15:40,,,
Tone 32,Fennesz + Sakamoto,Cendre,Touch,"CD, Album",,2007,953777,Uncategorized,25/12/2019 12:52,,,
Tone 34,"Gavin Bryars / Alter Ego (9), Philip Jeck",The Sinking Of The Titanic,Touch,"CD, Album, Ltd",,2007,1132346,Uncategorized,25/12/2019 13:04,,,
Tone 38,Biosphere,"Wireless - Live At The Arnolfini, Bristol",Touch,"CD, Album, Mixed",,2009,1701275,Uncategorized,07/12/2019 22:01,,,
TONE 44V,Fennesz,Seven Stars,Touch,"10""",,2011,2896237,Uncategorized,09/03/2020 15:16,,,
Tone 46,Fennesz + Sakamoto,Flumina,Touch,"2xCD, Album",,2011,3242181,Uncategorized,25/12/2019 12:50,,,
TG246CD,Nina Nastasia,"""Dogs""",Touch And Go,"CD, Album",,2004,541929,Uncategorized,12/09/2023 01:06,,,
TR 147,"Peter Brötzmann, Heather Leigh Murray",Ears Are Filled With Wonder,Trost Records,"LP, Album, RP, gre",,2017,9829034,Uncategorized,03/11/2019 10:52,,,
TR180,Peter Brötzmann / Heather Leigh Murray,Sparrow Nights,Trost Records,"LP, Album",,2018,12672220,Uncategorized,03/11/2019 10:52,,,
TM000,Various,A Selection Of Drones Past: Singles 1993-2000,tUMULt,"2xCD, Comp",,2006,827093,Uncategorized,20/12/2019 15:29,,,
TYPE 005,Goldmund,Corduroy Road,Type,"CD, Album, RP",,0,405425,Uncategorized,01/12/2019 00:13,,,
TYPE 006,Julien Neto,Le Fumeur De Ciel,Type,"CD, Album, Ltd, Dig",,2005,1252709,Uncategorized,07/12/2019 22:42,,,
TYPE 009,Deaf Center,Pale Ravine,Type,"CD, Album, Ltd, Dig",,2005,1159628,Uncategorized,14/12/2019 17:56,,,
TYPE 055,Richard Skelton,Landings,Type,"CD, Album, RE",,2010,2110813,Uncategorized,01/12/2019 00:31,,,
TYPE017,Xela,For Frosty Mornings And Summer Nights,Type,"CD, Album, RE, RM, Dig",,2007,866688,Uncategorized,12/09/2023 00:58,,,
TYPE025,Sylvain Chauveau,The Black Book Of Capitalism,Type,"CD, Album, RE, RM",,2008,1666495,Uncategorized,25/12/2019 12:44,,,
TYPE029,Aaron Martin (2) & Machinefabriek,Cello Recycling | Cello Drowning,Type,"CD, MiniAlbum",,2007,1029405,Uncategorized,01/12/2019 00:36,,,
type033,Svarte Greiner,Kappe,Type,"CD, Album",,2009,1619518,Uncategorized,01/12/2019 00:12,,,
TYPE034,Sylvain Chauveau,Nuage,Type,"CD, Album, Dig",,2007,1142427,Uncategorized,25/12/2019 12:45,,,
TYPE038,Grouper,Dragging A Dead Deer Up A Hill,Type,"CD, Album",,2008,1364732,Uncategorized,07/12/2019 22:14,,,
TYPE050,On (6),Your Naked Ghost Comes Back At Night,Type,"CD, Album, RE",,2009,1865085,Uncategorized,01/12/2019 00:27,,,
TYPE074,Jon Mueller,The Whole,Type,"CD, Album",,2010,2536071,Uncategorized,01/12/2019 00:34,,,
TYPE075,Jefre Cantu-Ledesma,Love Is A Stream,Type,"CD, Album",,2010,2518171,Uncategorized,25/11/2019 00:13,,,
TYPE088,Ezekiel Honig,Folding In On Itself,Type,"CD, Album",,2011,2974204,Uncategorized,01/12/2019 00:13,,,
"TYPE 016, TYPE016",Svarte Greiner,Knive,"Type, Type","CD, Album",,2006,826025,Uncategorized,24/11/2019 15:37,,,
TZ 7264,Death Ambient,Drunken Forest,Tzadik,"CD, Album",,2007,1041407,Uncategorized,20/12/2019 10:45,,,
TZ 7374,John Zorn,Alhambra Love Songs,Tzadik,"CD, Album",,2009,2077170,Uncategorized,28/11/2019 23:30,,,
TZ 8007,Annie Gosfield,Lost Signals And Drifting Satellites,Tzadik,"CD, Album",,2004,894266,Uncategorized,25/12/2019 12:38,,,
800 051-2,Dire Straits,Dire Straits,Vertigo,"CD, Album, RE, Red",,0,5810204,Uncategorized,12/09/2023 01:21,,,
VP 80089,Scott Walker,The Beginning / The Scott Engel Sessions,Vinyl Passion,"LP, Comp, RM, DMM",,2017,10502804,Uncategorized,19/09/2022 04:25,,,
ENO2LP6,Brian Eno,Ambient 1 (Music For Airports),Virgin EMI Records,"2x12"", Album, Ltd, RE, Hal",,2018,12801239,Uncategorized,02/11/2019 11:26,,,
"7243 8 41498 2 6, CDVUS 105",Cracker,The Golden Age,"Virgin, Virgin","CD, Album",,1996,2483658,Uncategorized,07/12/2019 22:33,,,
W25-10,Sarah Davachi,Pale Bloom,W.25th,"LP, Album",,2019,13749452,Uncategorized,31/10/2019 22:56,,,
W25-11,Nivhek,After Its Own Death / Walking In A Spiral Towards The House,W.25TH,LP + LP + Album,,2019,13853154,Uncategorized,03/11/2019 10:58,,,
WG 125,Colored Mushroom And The Medicine Rocks,Colored Mushroom And The Medicine Rocks,Wagon,"LP, Ltd, Col",,2010,2466097,Uncategorized,22/11/2019 23:04,,,
warp lp 329,Autechre,SIGN,Warp Records,"2xLP, Album",,2020,16061701,Uncategorized,12/09/2021 15:16,,,
warp lp 338,Autechre,PLUS,Warp Records,"2xLP, Album",,2020,16240829,Uncategorized,27/12/2020 11:08,,,
WARP LP49R,Autechre,Chiastic Slide,Warp Records,"2xLP, Album, RE",,2021,21019018,Uncategorized,18/11/2021 02:45,,,
WARPCD120,Gravenhurst,Flashlight Seasons,Warp Records,"CD, Album",,2004,310226,Uncategorized,12/09/2023 01:17,,,
WARPCD150,Mira Calix,Eyes Set Against The Sun,Warp Records,"CD, Album",,2007,889319,Uncategorized,01/12/2019 00:12,,,
WARPCD157,Gravenhurst,The Western Lands,Warp Records,"CD, Album",,2007,1065386,Uncategorized,12/09/2023 01:29,,,
warpcd169,Mira Calix,The Elephant In The Room: 3 Commissions,Warp Records,"CD, Album",,2008,1526346,Uncategorized,01/12/2019 00:22,,,
WARPLP25R,Autechre,Amber,Warp Records,"2xLP, Album, RE, RP",,2016,9326781,Uncategorized,02/11/2019 11:14,,,
WARPLP293,Yves Tumor,Safe In The Hands Of Love,Warp Records,"2xLP, Album",,2018,12628574,Uncategorized,25/11/2019 12:30,,,
WARPLP304X,Yves Tumor,Heaven To A Tortured Mind,Warp Records,"LP, Album, Ltd, Sil",,2020,15040025,Uncategorized,26/04/2020 12:32,,,
warpcd123,Boards Of Canada,The Campfire Headphase,"Warp Records, Music70","CD, Album, Dis",,2005,18106816,Uncategorized,12/09/2023 01:20,,,
WV169LPC1,Goldmund,Occasus,Western Vinyl,"LP, Album, Ltd, Whi",,2018,11851640,Uncategorized,22/11/2019 17:41,,,
WV185,Machinefabriek,With Voices,Western Vinyl,"LP, Album, Red",,2019,13073724,Uncategorized,31/10/2019 23:15,,,
XK018,Kali Malone,Velocity Of Sleep,XKatedral,"LP, RE",,2021,20599528,Uncategorized,13/05/2022 05:32,,,
XK019-COL,Tongue Depressor,Burnish,XKatedral,"LP, Album, Gre",,2022,22298974,Uncategorized,01/03/2022 04:18,,,
XL1196LPE,The Smile (5),A Light For Attracting Attention,XL Recordings,"2xLP, Album, Ltd, Yel",,2022,23529293,Uncategorized,16/06/2022 11:58,,,
XL987LPE,Thom Yorke,Anima,XL Recordings,"2x12"", Album, Ltd, Ora",,2019,13888965,Uncategorized,22/11/2019 18:09,,,
"XLLP868, XLLP868X",Radiohead,OK Computer OKNOTOK 1997 2017,"XL Recordings, XL Recordings","3xLP, Album, Ltd, RE, RM, Blu",,2017,10544976,Uncategorized,02/11/2019 11:08,,,
GR-021,Raum (4),Daughter,Yellow Electric,"LP, Ltd + LP, S/Sided + Album",,2022,22631921,Uncategorized,13/11/2022 04:34,,,
yeb-7746,Jun Miyake,Lost Memory Theatre - Act-2,Yellowbird,"CD, Album",,2014,6969394,Uncategorized,07/12/2019 22:56,,,
MIR 100708,Эдуард Артемьев,Solaris - Music From The Motion Picture By Andrey Tarkovsky,Мирумир,"LP, Album",,2013,4837043,Uncategorized,03/11/2019 10:53,,,
MIR100202,John Cage,Cheap Imitation,Мирумир,"LP, Album, RE",,2012,3773128,Uncategorized,31/10/2019 23:16,,,
